rowId,parentDocId,prodId,price,qty,catId,plusInsurance,carNo,prodPriceRowId,prodStockRowId,insurancePrice,accessoriesHelmet,accessoriesRaincoat,accessoriesHelmetFull,fromVoltage,toVoltage,fromSoc,toSoc
3277,17471055458470369,17346971448990296,690,1,3,1,RTS-4567,93,103,0,1,1,0,,,,
3278,17471057650800177,17346971448990296,690,1,3,1,RTS-4567,93,103,0,1,1,0,,,,
3279,17471061691880341,17346971448990296,690,1,3,1,RTS-4567,93,103,0,1,1,0,,,,
3280,17471065381040243,,0,1,3,,,93,103,,,,,,,,
3281,17471065687610716,,0,1,16,,,92,102,,,,,,,,
3282,17471065871330325,17346971448990296,780,1,3,1,RTS-4567,93,103,,1,1,0,,,,
3283,17471068341190168,17346971448990296,580,1,3,1,RTS-4567,93,103,,1,1,0,,,,
3284,17471074969700743,,600,1,3,,,11,8,,,,,,,,
3285,17471075463010935,16200306391540317,790,1,9,1,EMN-0732,4,49,0,1,1,0,,,,
3286,17471151209390569,,600,1,16,,,92,102,,,,,,,,
3287,17471208615880040,17346971448990296,100,1,3,1,RTS-4567,93,103,0,1,1,0,,,,
3288,17472035517030099,,600,1,3,,,11,8,,,,,,,,
3289,17472130728000814,17346971448990296,100,1,3,1,RTS-4567,93,103,,1,1,0,,,,
3290,17472133533400250,17346971448990296,210,1,3,1,RTS-4567,93,103,,1,1,0,,,,
3291,17472135999790155,,680,1,3,,,93,103,,,,,,,,
3292,17472165575090141,,680,1,3,,,93,103,,,,,,,,
3293,17472167410490322,,220,1,3,,,93,103,,,,,,,,
3294,17472167623840663,,110,1,3,,,93,103,,,,,,,,
3295,17472168399110673,,1360,1,3,,,93,103,,,,,,,,
3296,17472168703090680,,680,1,3,,,93,103,,,,,,,,
3297,17472169204850888,,3400,1,3,,,93,103,,,,,,,,
3298,17473016425850314,,0,1,3,,,93,103,,,,,,,,
3299,17473025588610250,,680,1,3,,,93,103,,,,,,,,
3300,17473029710190031,,680,1,3,,,93,103,,,,,,,,
3301,17473036185470055,,360,1,16,,,74,92,,,,,,,,
3302,17473036728210002,,540,1,16,,,74,92,,,,,,,,
3303,17473037682480282,,680,1,3,,,93,103,,,,,,,,
3304,17473041932140018,,450,1,16,,,74,92,,,,,,,,
3305,17476468776290627,16200306391540317,680,1,9,0,EMN-0732,4,49,,1,1,0,,,,
3306,17477998725500185,,680,1,3,,,101,8,,,,,,,,
3307,17479732654420220,,680,1,3,,,93,103,,,,,,,,
3308,17479895517620104,,680,1,3,,,101,8,,,,,,,,
3309,17479899026690818,,680,1,3,,,101,8,,,,,,,,
3310,17479899270310730,,680,1,3,,,101,8,,,,,,,,
3311,17479910115060229,16200304679160932,681,1,1,1,EMU-7975,6,51,0,1,1,0,,,,
3312,17479911629250410,16200304679160932,681,1,1,1,EMU-7975,6,51,0,1,1,0,,,,
3313,17483155892060059,,680,1,3,,,101,8,,,,,,,,
3314,17483194916360348,,680,1,3,,,101,8,,,,,,,,
3315,17483198523030322,,680,1,3,,,101,8,,,,,,,,
3316,17483413879370449,16200304679160932,682,1,1,1,EMU-7975,6,51,,1,1,0,,,,
3317,17483432494710430,16200306391540317,680,1,9,1,EMN-0732,4,49,,1,1,0,,,,
3318,17484899575840940,17326155847910172,680,1,9,0,EMG-3231,4,49,,1,1,0,,,,
3319,17484927818170829,17326155847910172,780,1,9,1,EMG-3231,4,49,0,1,1,0,,,,
3320,17485051301510065,16200304679160932,0,1,1,1,EMU-7975,6,51,,1,0,0,,,,
3321,17486643306850802,17326155847910172,680,1,9,0,EMG-3231,4,49,0,1,1,0,,,,
3322,17486654906700635,17326155847910172,680,1,9,0,EMG-3231,4,49,0,1,1,0,,,,
3323,17486665439040659,17326155847910172,680,1,9,0,EMG-3231,4,49,0,1,1,0,,,,
3324,17486670679260701,,680,1,3,,,101,8,,,,,,,,
3325,17486671270760858,17326155847910172,780,1,9,1,EMG-3231,4,49,0,1,1,0,,,,
3326,17486677284910478,17326155847910172,780,1,9,1,EMG-3231,4,49,,1,1,0,,,,
3327,17486747536420893,17313850550840370,780,1,3,0,JAKE-1234,101,8,,1,1,0,,,,
3328,17488372688110687,,680,1,3,,,93,103,,,,,,,,
3329,17488493960270534,,8000,1,3,,,101,8,,,,,,,,
3330,17488494804270678,16200306391540317,8000,1,9,0,EMN-0732,4,49,,1,1,0,,,,
3331,17488532371140223,,8000,1,3,,,101,8,,,,,,,,
3332,17488537825570284,,0,1,12,,,57,75,,,,,,,,
3333,17488538003440816,,0,1,12,,,57,75,,,,,,,,
3334,17488560764870307,,8000,1,3,,,101,8,,,,,,,,
3335,17490023879680151,,680,1,3,,,101,8,,,,,,,,
3336,17490024257340935,,8000,1,3,,,101,8,,,,,,,,
3337,17490024648830990,,8000,1,3,,,101,8,,,,,,,,
3338,17490061971240107,,680,1,3,,,93,103,,,,,,,,
3339,17490172625270420,,680,1,3,,,101,8,,,,,,,,
3340,17490172842870788,,680,1,3,,,101,8,,,,,,,,
3341,17490175758510057,,680,1,3,,,101,8,,,,,,,,
3342,17490175874000553,,680,1,3,,,101,8,,,,,,,,
3343,17496339551820643,,680,1,9,,,4,49,,,,,,,,
3344,17497022850970871,,680,1,3,,,101,8,,,,,,,,
3345,17497022952200612,,680,1,3,,,93,103,,,,,,,,
3346,17497023119230248,,650,1,8,,,38,57,,,,,,,,
3347,17497036835140643,,680,1,3,,,93,103,,,,,,,,
3348,17497194206210728,,680,1,9,,,4,49,,,,,,,,
3349,17497194360570399,,680,1,3,,,13,34,,,,,,,,
3350,17497194680870540,,680,1,9,,,4,49,,,,,,,,
3351,17497805236350402,,680,1,1,,,102,33,,,,,,,,
3352,17497805556190872,,680,1,1,,,102,33,,,,,,,,
3353,17497806173590641,,680,1,1,,,102,33,,,,,,,,
3354,17497806657080292,,680,1,1,,,102,33,,,,,,,,
3355,17497807788980572,,680,1,1,,,102,33,,,,,,,,
3356,17497808196780552,,680,1,1,,,102,33,,,,,,,,
3357,17497808934570169,,680,1,1,,,102,33,,,,,,,,
3358,17497809845910913,,680,1,3,,,102,34,,,,,,,,
3359,17497810758710870,,680,1,1,,,102,33,,,,,,,,
3360,17497811993540049,,680,1,1,,,102,33,,,,,,,,
